"SYMBOL"	"annotation"	"start"	"end"	"SOTOS"	"ICF1"	"ICF2"	"ICF3"	"ICF4"	"DUPLICATION7q"	"CHARGE"	"KABUKI"	"chr16DEL"	"CONTROL"
"1"	"PCDHA1"	"Promoter (<=1kb)"	140165998	140165999	"0.473535135135135"	"0.149732432432432"	"0.277408108108108"	"0.255840540540541"	"0.240008108108108"	"0.377281081081081"	"0.417043243243243"	"0.401635135135135"	"0.413697297297297"	"0.428654054054054"
"2"	"PCDHA10"	"Promoter (1-2kb)"	140237151	140237152	"0.50949"	"0.17052"	"0.31276"	"0.27423"	"0.25639"	"0.40966"	"0.44066"	"0.43113"	"0.44496"	"0.45542"
"3"	"PCDHA11"	"Promoter (<=1kb)"	140248772	140248773	"0.55096"	"0.10676"	"0.26954"	"0.26394"	"0.27622"	"0.3975"	"0.47592"	"0.44876"	"0.45604"	"0.47522"
"4"	"PCDHA12"	"Promoter (<=1kb)"	140254793	140254794	"0.44335"	"0.128516666666667"	"0.230466666666667"	"0.258666666666667"	"0.2271"	"0.341783333333333"	"0.400333333333333"	"0.389116666666667"	"0.381933333333333"	"0.398733333333333"
"5"	"PCDHA13"	"Promoter (<=1kb)"	140261697	140261698	"0.376711111111111"	"0.157844444444444"	"0.255333333333333"	"0.229877777777778"	"0.200111111111111"	"0.322555555555555"	"0.340422222222222"	"0.332188888888889"	"0.3415"	"0.357822222222222"
"6"	"PCDHA2"	"Promoter (<=1kb)"	140174612	140174613	"0.591828571428571"	"0.1978"	"0.380357142857143"	"0.397885714285714"	"0.340885714285714"	"0.452142857142857"	"0.516814285714286"	"0.498442857142857"	"0.503614285714286"	"0.529185714285714"
"7"	"PCDHA3"	"Promoter (<=1kb)"	140181074	140181075	"0.560816666666667"	"0.225"	"0.40095"	"0.39315"	"0.396916666666667"	"0.433516666666667"	"0.494083333333333"	"0.477783333333333"	"0.490083333333333"	"0.498016666666667"
"8"	"PCDHA4"	"Promoter (1-2kb)"	140188392	140188393	"0.497344444444444"	"0.145788888888889"	"0.347455555555556"	"0.319233333333333"	"0.365955555555555"	"0.409444444444444"	"0.4533"	"0.419333333333333"	"0.428744444444444"	"0.454244444444445"
"9"	"PCDHA5"	"Promoter (1-2kb)"	140202922	140202923	"0.6161"	"0.1582"	"0.435525"	"0.417925"	"0.40385"	"0.4516"	"0.521975"	"0.47675"	"0.5101"	"0.52725"
"10"	"PCDHA6"	"Promoter (<=1kb)"	140207460	140207461	"0.455011111111111"	"0.153011111111111"	"0.258166666666667"	"0.241511111111111"	"0.228288888888889"	"0.334511111111111"	"0.385777777777778"	"0.3645"	"0.363077777777778"	"0.385833333333333"
"11"	"PCDHA7"	"Promoter (<=1kb)"	140214372	140214373	"0.497566666666667"	"0.146483333333333"	"0.266"	"0.27755"	"0.252533333333333"	"0.342833333333333"	"0.422933333333333"	"0.37675"	"0.39545"	"0.416816666666667"
"12"	"PCDHA8"	"Promoter (1-2kb)"	140222653	140222654	"0.594627272727273"	"0.183490909090909"	"0.365590909090909"	"0.326236363636364"	"0.335245454545455"	"0.4408"	"0.517754545454545"	"0.477127272727273"	"0.502636363636364"	"0.530972727272727"
"13"	"PCDHA9"	"Promoter (2-3kb)"	140229827	140229828	"0.659166666666667"	"0.157333333333333"	"0.402566666666667"	"0.391466666666667"	"0.368266666666667"	"0.486466666666667"	"0.566166666666667"	"0.524766666666667"	"0.562"	"0.583566666666667"
"14"	"PCDHAC1"	"Promoter (<=1kb)"	140306181	140306182	"0.143453846153846"	"0.0996"	"0.122492307692308"	"0.126215384615385"	"0.136946153846154"	"0.132138461538462"	"0.133330769230769"	"0.131492307692308"	"0.128976923076923"	"0.142223076923077"
"15"	"PCDHAC2"	"Promoter (<=1kb)"	140345966	140345967	"0.177673684210526"	"0.193063157894737"	"0.163868421052632"	"0.154315789473684"	"0.154336842105263"	"0.187678947368421"	"0.197378947368421"	"0.185726315789474"	"0.187921052631579"	"0.204657894736842"
